,id,video,title,description,duration,like_count,timestamp,audio_codec,audio_bitrate,audio_sampling_rate
95,96,https://www.instagram.com/jagat.review/reel/DMRsIjVxA4J/,Video by jagat.review,"Xiaomi Mijia AC Pro Eco 5-Star 1 PK Inverter ini sudah dilengkapi dengan AI Energy Saving sehingga daya yang dikeluarkan AC nya akan disesuaikan dengan kebiasaan pengguna, sehingga akan lebih hemat daya. 

AC ini juga dilengkapi  dengan  inverter yang sudah tersertifikasi CSPF hingga 5.74 dan mempunyai efisiensi energi hingga bintang 5. AC ini juga bisa dikontrol melalui smartphone, jadi mempermudah penggunanya.

Garansi AC 3 Tahun, Kompresor 10 Tahun. After Sales diurus langsung sama Xiaomi Indonesia. Tunggu review lengkapnya di Youtube Jagat Review.

#xiaomi
@xiaomi.indonesia",74.258,235.0,1752900369.0,mp4a.40.5,63.615,44100.0
96,97,https://www.instagram.com/jagat.review/reel/DKL5mX2Sdi3/,Video by jagat.review,"Harga Rp 900 ribuan, tapi layarnya 90 Hz, tahan air IP54, dan punya banyak fitur smartphone yg lebih mahal! Ada smartphone seperti itu? Ada! Ini itel A90! Murah, tapi sama sekali gak murahan! Bahkan, itel juga ngasih bonus power bank dan garansi 24 bulan untuk smartphone ini!

#ItelA90",70.5,1625.0,1748411140.0,mp4a.40.5,58.23,44100.0
97,98,https://www.instagram.com/jagat.review/reel/DIxchZfIBBj/,Video by jagat.review,"Polytron FlexUp 5in1 dengan Flexible Cooling System ini mempunyai 5 mode pendinginan,
Kalau membutuhkan space yang lebih besar, bisa ubah kompartemen freezer jadi mode yang dibutuhkan.
Space jadi 30% lebih besar

Review lengkapnya bisa kamu lihat di channel YouTube Jagat Review.

#FlexUp #polytron",61.8,548.0,1745375958.0,mp4a.40.5,66.269,44100.0
98,99,https://drive.google.com/file/d/14AK_pf1gN1Tiesh4LtrO3AWtP-fuS-dd/view?usp=sharing,"Tips main basket buat pemula ala Jeki! 🏀💪 Latihan dasar dulu ya, guys. Basic training itu pent.mp4",,47.0,,,,,
99,100,https://drive.google.com/file/d/19DN24hfiZdBYnIev8U9DTvsE70FjmhSF/view?usp=sharing,TUTORIAL JUMP START ALA ATLET RENANG DARI START BLOCK! 🏊🏻‍♂️🐬💨.mp4,,63.0,,,,,
100,101,https://drive.google.com/file/d/1DtF-9-m3T2BmkMbxZOyW0mocKSyK69zW/view?usp=sharing,Di video kali ini Xplod Sports Tutorial Padel Indonesia akan menberikan tips untuk melakukan Wal.mp4,,240.0,,,,,
101,102,https://drive.google.com/file/d/1etsHQdM46Ah4UsNm8uyIL08w4otU9slH/view?usp=sharing,Olahraga gak ada hasilnya! ❌⁉️Jangan salahin olahraga di rumah. Emangnya kalo punya membership g.mp4,,80.0,,,,,
102,103,https://drive.google.com/file/d/1RzNIT_4ZJl3hw41qI8aSdyQdqsaTApKk/view?usp=sharing,Pengen dapetin muscle up pertama Ini caranya!Btw cara di video ini berdasarkan pengalaman pribad.mp4,,38.0,,,,,
103,104,https://drive.google.com/file/d/1AEpkz8RUfM_2XjSY-nKsXqK7CJH0caOR/view?usp=sharing,"Test kekuatan dan keseimbangan badan!Berani coba Komen ya bisa atau engga, let's goooo🔥#test #b.mp4",,41.0,,,,,
104,105,https://drive.google.com/file/d/1ko19DG40GCqyfPWK7jXtkKMMFhtvHCKr/view?usp=drive_link,Cara mulau workout punggung di rumah-kos dengan 1 alat iniRowsPull DownFace PullHammer CurlsLaku.mp4,,66.0,,,,,
